0,0,_power_V+
1,0,_power_V+
2,0,_power_V+
3,0,_power_V+
4,0,_power_V+
6,0,_power_V+
7,0,_power_V+
8,0,_power_V+
9,0,_power_V+
10,0,_power_V+
12,0,_power_V+
13,0,_power_V+
14,0,_power_V+
15,0,_power_V+
16,0,_power_V+
18,0,_power_V+
19,0,_power_V+
20,0,_power_V+
21,0,_power_V+
22,0,_power_V+
24,0,_power_V+
25,0,_power_V+
26,0,_power_V+
27,0,_power_V+
28,0,_power_V+
30,0,_power_V+
31,0,_power_V+
32,0,_power_V+
33,0,_power_V+
34,0,_power_V+
36,0,_power_V+
37,0,_power_V+
38,0,_power_V+
39,0,_power_V+
40,0,_power_V+
42,0,_power_V+
43,0,_power_V+
44,0,_power_V+
45,0,_power_V+
46,0,_power_V+
0,1,_power_GND
1,1,_power_GND
2,1,_power_GND
3,1,_power_GND
4,1,_power_GND
6,1,_power_GND
7,1,_power_GND
8,1,_power_GND
9,1,_power_GND
10,1,_power_GND
12,1,_power_GND
13,1,_power_GND
14,1,_power_GND
15,1,_power_GND
16,1,_power_GND
18,1,_power_GND
19,1,_power_GND
20,1,_power_GND
21,1,_power_GND
22,1,_power_GND
24,1,_power_GND
25,1,_power_GND
26,1,_power_GND
27,1,_power_GND
28,1,_power_GND
30,1,_power_GND
31,1,_power_GND
32,1,_power_GND
33,1,_power_GND
34,1,_power_GND
36,1,_power_GND
37,1,_power_GND
38,1,_power_GND
39,1,_power_GND
40,1,_power_GND
42,1,_power_GND
43,1,_power_GND
44,1,_power_GND
45,1,_power_GND
46,1,_power_GND
0,3,_signal_%B.A0
1,3,_signal_%B.A1
2,3,_signal_%B.A2
3,3,_signal_%B.A3
4,3,_signal_%B.A4
5,3,_signal_%B.A5
6,3,_signal_%B.A6
7,3,_signal_%B.A7
8,3,_signal_%B.A8
9,3,_signal_%B.A9
10,3,_signal_%B.A10
11,3,_signal_%B.A11
12,3,_signal_%B.A12
13,3,_signal_%B.A13
14,3,_signal_%B.A14
15,3,_signal_%B.A15
16,3,_signal_%B.A16
17,3,_signal_%B.A17
18,3,_signal_%B.A18
19,3,_signal_%B.A19
20,3,_signal_%B.A20
21,3,_signal_%B.A21
22,3,_signal_%B.A22
23,3,_signal_%B.A23
24,3,_signal_%B.A24
25,3,_signal_%B.A25
26,3,_signal_%B.A26
27,3,_signal_%B.A27
28,3,_signal_%B.A28
29,3,_signal_%B.A29
30,3,_signal_%B.A30
31,3,_signal_%B.A31
32,3,_signal_%B.A32
33,3,_signal_%B.A33
34,3,_signal_%B.A34
35,3,_signal_%B.A35
36,3,_signal_%B.A36
37,3,_signal_%B.A37
38,3,_signal_%B.A38
39,3,_signal_%B.A39
40,3,_signal_%B.A40
41,3,_signal_%B.A41
42,3,_signal_%B.A42
43,3,_signal_%B.A43
44,3,_signal_%B.A44
45,3,_signal_%B.A45
46,3,_signal_%B.A46
0,4,_signal_%B.A0
1,4,_signal_%B.A1
2,4,_signal_%B.A2
3,4,_signal_%B.A3
4,4,_signal_%B.A4
5,4,_signal_%B.A5
6,4,_signal_%B.A6
7,4,_signal_%B.A7
8,4,_signal_%B.A8
9,4,_signal_%B.A9
10,4,_signal_%B.A10
11,4,_signal_%B.A11
12,4,_signal_%B.A12
13,4,_signal_%B.A13
14,4,_signal_%B.A14
15,4,_signal_%B.A15
16,4,_signal_%B.A16
17,4,_signal_%B.A17
18,4,_signal_%B.A18
19,4,_signal_%B.A19
20,4,_signal_%B.A20
21,4,_signal_%B.A21
22,4,_signal_%B.A22
23,4,_signal_%B.A23
24,4,_signal_%B.A24
25,4,_signal_%B.A25
26,4,_signal_%B.A26
27,4,_signal_%B.A27
28,4,_signal_%B.A28
